step,value,wall_time,timestamp,seed,model,run_name
1,49.0,1752762715.8984315,2025-07-17 16:31:55.898432,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
2,37.0,1752762785.8929913,2025-07-17 16:33:05.892991,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
3,37.0,1752762855.6783128,2025-07-17 16:34:15.678313,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
4,28.0,1752762925.8540375,2025-07-17 16:35:25.854038,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
5,24.0,1752762996.1739323,2025-07-17 16:36:36.173932,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
6,22.0,1752763065.4225662,2025-07-17 16:37:45.422566,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
7,20.0,1752763134.3739312,2025-07-17 16:38:54.373931,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
8,17.0,1752763203.9636908,2025-07-17 16:40:03.963691,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
9,17.0,1752763273.7719991,2025-07-17 16:41:13.771999,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
10,17.0,1752763343.2733576,2025-07-17 16:42:23.273358,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
11,17.0,1752763413.0887706,2025-07-17 16:43:33.088771,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
12,17.0,1752763482.8150163,2025-07-17 16:44:42.815016,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
13,17.0,1752763553.1542344,2025-07-17 16:45:53.154234,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
14,17.0,1752763623.0624938,2025-07-17 16:47:03.062494,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
15,17.0,1752763693.0535417,2025-07-17 16:48:13.053542,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
16,17.0,1752763762.713646,2025-07-17 16:49:22.713646,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
17,17.0,1752763832.2199306,2025-07-17 16:50:32.219931,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
18,17.0,1752763901.7031066,2025-07-17 16:51:41.703107,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
19,17.0,1752763970.9937303,2025-07-17 16:52:50.993730,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
20,17.0,1752764040.7813654,2025-07-17 16:54:00.781365,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
21,17.0,1752764110.8646154,2025-07-17 16:55:10.864615,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
22,17.0,1752764179.415943,2025-07-17 16:56:19.415943,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
23,17.0,1752764248.2754545,2025-07-17 16:57:28.275455,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
24,17.0,1752764317.8309734,2025-07-17 16:58:37.830973,10,VAE,VAE_experiment_20250717_163053_VAE_0.001_80_20_0.01_50_5_KaimingNormal_10
